area_sqft,bedrooms,bathrooms,floors,age_years,garage_spaces,distance_city_km,school_rating,crime_index,nearby_metro,price
3172.2092541653974,4,2,3,10.91867457286899,1,0.4045105931790305,6,54.18955727550002,No,658900.0526370294
1057.624211754237,2,3,2,89.09330177146416,0,35.52168449168334,1,58.11846377984457,Yes,128981.73281640343
4431.525036040408,3,3,3,39.28574485977803,0,8.576734090450133,4,98.49069426644431,Yes,959425.6779652834
1955.5932417250453,2,1,1,24.60712244867389,0,46.51998238602928,6,20.197284842505958,No,362579.92902221653
4637.676586414557,3,2,3,47.44643031001055,3,13.09463288943849,8,43.41268497172297,No,1001736.897539895
2597.1352919440783,2,3,2,54.3778488071316,0,0.7221279117489099,7,74.55696659858371,No,493447.2685268898
4753.255953292392,3,3,1,92.49638970552351,0,47.79842782805583,8,64.95949247403922,Yes,863531.3637489473
3717.2925374542842,4,3,1,43.928952470075224,1,10.617592558356998,2,37.8522695722688,Yes,827657.4526378801
539.8114384356361,5,3,3,53.88427508163953,3,28.3669534948088,2,8.810394128574439,No,115448.05587296627
1784.4555156548313,4,3,2,4.333636781225458,1,19.01734480007193,6,41.46767863972247,Yes,413855.03809572506
2921.6313936503543,2,2,2,99.8537029211089,0,48.98363162678916,2,8.511144509674672,No,479603.13827527914
2149.43441254029,4,3,3,76.68584746564834,0,19.359012359921852,6,33.527425484693275,Yes,448610.1639084433
3421.6866705272823,5,3,1,25.960140277148547,3,46.81719901580038,5,45.45949410895257,Yes,759992.8465349246
957.7215136055074,4,1,2,28.727295295057743,1,36.89801537435924,9,71.57627156141648,No,203083.1955198146
3945.267915275384,5,1,1,49.54117731032214,2,16.02902980336756,9,86.45328133989443,No,762048.3642676538
786.4400342152367,2,1,1,61.44157578070206,1,18.013798042752647,8,19.588935541836218,No,131144.67764793398
3417.5617161363953,3,1,3,38.54773533724304,3,26.921155682186022,1,25.318340019645458,No,665194.7478377642
3885.0256289495806,1,1,1,85.17285007130081,2,32.16134731512633,10,65.85021609247401,Yes,707811.2218953357
613.7886048365493,4,3,2,33.32554074562402,2,16.951161827292054,7,20.70018163161609,No,170223.23500347335
1152.3781459811523,2,1,1,27.556949033829437,3,10.703921870043647,7,90.04663905036578,Yes,208030.8972441775
1419.9646219918473,5,1,1,54.61307340995722,0,24.7546087539884,8,59.369971381964646,Yes,257238.77065896633
1297.8575599209014,3,3,3,43.697967476957025,1,12.511976765700734,4,30.498824597035746,No,275923.9408962151
4978.4307304117665,3,2,2,74.94913412827987,3,26.02765556104627,6,99.82544968417234,Yes,962663.5658603571
4422.408341362238,4,3,2,67.1245612493707,2,22.200854946356518,1,90.08140815011232,No,865583.5871592067
3654.088721023375,2,2,3,3.7275855958356474,3,34.88052041056868,7,72.7704938659005,No,777499.5205366111
4303.068147489392,1,2,2,86.15447719780425,1,0.8602344147793595,7,55.027387511005735,No,788015.9387668225
1467.786671186371,5,2,3,57.867753951545886,2,7.3325746490824075,10,27.819588218297753,No,302766.6815107118
4253.127702167138,1,1,1,44.331677252999036,2,45.84431120824864,5,17.312793173626638,Yes,858486.7164508939
2589.0665737521254,2,2,2,70.30646519118403,1,15.986468044461628,5,37.178115367778716,No,443879.94757073966
4715.8682628564275,4,3,3,34.74103955440175,2,2.6582641401880602,5,79.18832916692028,No,906505.187203898
1534.1789009991912,1,1,2,84.82960711391586,1,16.536399750964563,3,49.38134101779015,Yes,216147.6906031566
4008.0244649887136,5,1,3,0.195373870785287,2,17.175350897781623,5,77.7005949833174,No,840595.7965379135
1332.5198423647755,5,3,2,15.193734191092755,2,12.22281185767145,4,55.96524652289112,Yes,326665.4712984791
689.8503268266,4,3,3,99.05822550979346,1,2.1271267951611716,4,39.33827052553443,Yes,102420.62095501358
2272.9768098265404,2,3,2,34.268867941063434,2,28.687451879244247,10,78.03439637697281,Yes,492208.2281608513
3112.173588060711,3,3,2,70.1177149165512,2,31.41717102780644,1,99.62040445320316,No,622226.3172567679
1956.4615424974845,5,3,3,60.45964630917094,3,16.34853838818074,8,57.07274022322202,No,388953.5541650915
1356.32918848083,1,3,3,65.22419788959635,3,18.629148471692336,8,55.567942828227615,Yes,244444.5229794138
